,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,NETWORTH07,TrueRiskTolerance
60,77,2,1,0,3,31416.801006,4,215248.97126,0.19951067188921895
425,55,4,1,1,2,2779588.1568,2,49647586.871,0.6414583757066374
1122,85,4,1,0,2,372741.70685,4,58377675.049,0.5899434716750507
1190,40,2,1,3,1,53248.815265,3,268892.92946,0.43412691167593687
1228,70,2,1,0,2,37167.673055,3,2015065.9046,0.22821829777212155
1234,53,4,1,2,1,365286.87272,2,27528256.695,0.3648803393713238
1300,63,4,2,1,1,34079.241769,3,182782.98498,0.09316329250359995
1301,63,4,2,1,1,34079.241769,3,183715.02286,0.09228320914260502
1302,63,4,2,1,1,34079.241769,3,183818.58263,0.09228320914260502
1303,63,4,2,1,1,34079.241769,3,184854.18027,0.09228320914260502
1304,63,4,2,1,1,34079.241769,3,183818.58263,0.09316329250359995
1320,68,3,1,0,3,1682662.5624,3,77599403.005,0.625433280496583
1324,68,3,1,0,3,1586814.6949,3,67941833.573,0.6399103967425606
1370,48,4,2,0,1,46858.957433,3,239533.73612,0.47911013283641835
1371,48,4,2,0,1,46858.957433,3,241604.93142,0.47911013283641835
1372,48,4,2,0,1,45793.981128,3,241604.93142,0.47911013283641835
1373,48,4,2,0,1,46858.957433,3,238498.13847,0.47911013283641835
1374,48,4,2,0,1,46858.957433,3,243676.12671,0.47911013283641835
1443,55,4,1,0,1,171461.18515,1,2963259.1117,0.5955794042266608
1455,52,4,1,0,1,195955.64017,2,1605176.3553,0.2983036521852438
1457,52,4,1,0,1,233229.81086,2,1969085.369,0.3034990446738455
1565,53,4,1,2,2,305648.19962,3,2369872.015,0.4998806798083069
1568,53,4,1,2,2,309908.10484,3,2117279.3926,0.4650430809833691
1630,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1631,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1632,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1633,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1634,37,4,1,0,1,210865.30845,3,865759.63423,0.4120337880858519
